age	unit	sex	geo\time	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL	PC_ACT	F	AT	5.9	5.6	5.3	4.4	5.1	4.6	4.6	4.8	5.3	5.4	5.3	5.6
TOTAL	PC_ACT	F	BE	9.5	9.3	8.5	7.6	8.1	8.5	7.2	7.4	8.2	7.9	7.8	7.6
TOTAL	PC_ACT	F	BG	10.0	9.4	7.4	5.8	6.7	9.6i	10.1	10.8	11.8	10.4	8.4	7.0
TOTAL	PC_ACT	F	CY	6.5	5.4	4.6	4.3	5.5	6.4	7.7	11.1	15.2	15.1	14.8	13.4
TOTAL	PC_ACT	F	CZ	9.8	8.8	6.7	5.6	7.7	8.5	7.9	8.2	8.3	7.4	6.1	4.7
TOTAL	PC_ACT	F	DE	10.9i	10.1	8.7	7.6	7.2	6.5	5.6	5.2	4.9	4.6	4.2	3.8
TOTAL	PC_ACT	F	DK	5.3	4.5i	4.2	3.7	5.3	6.5	7.5	7.5	7.3	6.8	6.4	6.6
TOTAL	PC_ACT	F	EA	10.2	9.5	8.6	8.4	9.7	10.2	10.4	11.5	12.2	11.8	11.0	10.4
TOTAL	PC_ACT	F	EA18	10.2	9.6	8.6	8.4	9.8	10.3	10.4	11.5	12.1	11.8	11.1	10.4
TOTAL	PC_ACT	F	EA19	10.2	9.5	8.5	8.3	9.8	10.3	10.4	11.5	12.1	11.8	11.0	10.4
TOTAL	PC_ACT	F	EE	6.9	5.6	3.8	5.1i	10.3	14.1	11.6	9.1	8.2	6.8	6.1	6.1
TOTAL	PC_ACT	F	EL	15.4	13.8	12.9	11.5	13.3	16.4	21.5	28.2	31.4	30.2	28.9	28.1
TOTAL	PC_ACT	F	ES	12.0	11.4	10.7	12.8	18.1	20.2	21.8	25.1	26.7	25.4	23.6	21.4
TOTAL	PC_ACT	F	EU27	9.8	9.0	7.9	7.5	8.9	9.6	9.7	10.5	10.9	10.3	9.4	8.7
TOTAL	PC_ACT	F	EU28	9.8	9.0	7.9	7.5	8.9	9.6	9.8	10.5	10.9	10.3	9.5	8.8
TOTAL	PC_ACT	F	FI	8.6	8.1	7.2	6.7	7.6	7.6	7.1	7.1	7.5	8.0	8.8	8.6
TOTAL	PC_ACT	F	FR	9.7	9.5	8.5	7.9	9.2	9.5	9.6	9.8	10.2	10.0	9.9	9.9
TOTAL	PC_ACT	F	HR	14.5	13.3i	11.4	10.4	10.8	12.4	13.8	15.8	17.2	18.0	16.7	14.2
TOTAL	PC_ACT	F	HU	7.4	7.8	7.7	8.0i	9.7	10.7	11.0	10.6	10.1	7.9	7.0	5.1
TOTAL	PC_ACT	F	IE	4.1	4.3	4.3	4.9	8.2	9.9	10.8	11.0	10.7	9.4	7.7	6.5
TOTAL	PC_ACT	F	IS	2.6	3.1	2.3	2.6	5.7	6.7	6.2	5.7	5.1	4.9	4.1	3.1
TOTAL	PC_ACT	F	IT	10.0	8.8	7.8	8.5	9.2	9.6	9.5	11.8	13.1	13.8	12.7	12.8
TOTAL	PC_ACT	F	JP	4.2	3.9	3.7	3.9	4.8	4.6	4.2b	4.0	3.7	3.4	3.1	2.8
TOTAL	PC_ACT	F	LT	8.5	5.6	4.3	5.6	10.5	14.5	12.9	11.6	10.5	9.2	8.2	6.7
TOTAL	PC_ACT	F	LU	6.1	5.9i	5.1	5.9	5.9	5.5	6.0	5.8	6.2	6.4	7.1	6.6
TOTAL	PC_ACT	F	LV	10.0	6.7	5.6	7.1	14.1	16.3	13.8	14.0	11.1	9.8	8.6	8.4
TOTAL	PC_ACT	F	MT	8.4	8.3	7.9	6.8	7.6	7.1	7.1	7.3	6.3	5.3	5.2	5.2
TOTAL	PC_ACT	F	NL	6.9	6.2	5.2	4.5	4.9	5.5	5.4	6.2	7.3	7.8	7.3	6.5
TOTAL	PC_ACT	F	NO	4.3	3.4b	2.5	2.4	2.7	3.0	3.1	2.8	3.3	3.3	4.0	4.0
TOTAL	PC_ACT	F	PL	19.4	15.1	10.3	7.9	8.6i	10.0	10.4	10.9	11.1	9.6	7.7	6.2
TOTAL	PC_ACT	F	PT	8.8	9.1	9.6	9.0	10.3	12.2	13.2	15.6	16.6	14.5	12.9	11.3
TOTAL	PC_ACT	F	RO	6.4	6.0	5.2	4.4	5.4	6.2	6.5	6.1	6.3	6.1	5.8	5.0
TOTAL	PC_ACT	F	SE	7.6	7.2	6.5	6.6	8.0	8.5	7.7	7.7	7.9	7.7	7.3	6.5
TOTAL	PC_ACT	F	SI	7.1	7.2	5.9	4.8	5.8	7.1	8.2	9.4	10.9	10.6	10.1	8.6
TOTAL	PC_ACT	F	SK	17.4	14.8	12.8	11.0	12.9	14.7	13.7i	14.5	14.5	13.6	12.9	10.8
TOTAL	PC_ACT	F	UK	4.3	4.9	5.0	5.1	6.4	6.9	7.4	7.4	7.1	5.8	5.1	4.7
TOTAL	PC_ACT	F	US	5.1	4.6	4.5	5.4	8.1	8.6	8.5	7.9	7.1	6.1	5.2	4.8
TOTAL	PC_ACT	M	AT	5.4	5.0	4.5	3.9	5.5	5.0	4.6	5.0	5.4	5.9	6.1	6.5
